Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2023-08-03 08:57 (-07),On Demand,Callie Gullickson,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-08-02 04:46 (-07),,,,,,,114,,,
2023-08-03 20:04 (-07),On Demand,Adrian Williams,10,Stretching,Full Body Stretch,10 min Barbie Full Body Stretch,2023-08-03 07:00 (-07),,,,,,,29,,,
2023-08-04 06:44 (-07),On Demand,Hannah Frankson,5,Cycling,Warm Up,5 min Warm Up Ride,2023-07-31 23:00 (-07),20,66,28%,94,13.46,1.12,22,85.00,,
2023-08-04 06:51 (-07),On Demand,Emma Lovewell,30,Cycling,Music,30 min 2000s Pop Ride,2023-08-03 08:55 (-07),228,127,42%,79,17.52,8.76,260,119.00,,
2023-08-05 09:22 (-07),On Demand,Adrian Williams,20,Strength,Upper Body,20 min Upper Body Strength,2023-08-05 04:55 (-07),,,,,,,115,,,
2023-08-06 08:19 (-07),On Demand,Jenn Sherman,5,Cycling,Warm Up,5 min Warm Up Ride,2023-07-25 08:00 (-07),27,91,32%,95,15.43,1.28,31,103.00,,
2023-08-06 08:26 (-07),On Demand,Hannah Corbin,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-08-04 11:56 (-07),235,130,43%,74,17.15,8.58,283,122.00,,
2023-08-06 20:39 (-07),On Demand,Callie Gullickson,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-05-09 23:00 (-07),,,,,,,29,,,
2023-08-08 18:30 (-07),On Demand,Logan Aldridge,20,Strength,Upper Body,20 min Upper Body Strength,2023-08-08 14:54 (-07),,,,,,,115,,,
2023-08-09 05:52 (-07),,,5,Cycling,,5 min Lanebreak Ride,,22,73,32%,87,13.85,1.17,30,,,
2023-08-09 05:59 (-07),On Demand,Cody Rigsby,15,Cycling,Music,15 min Pop Ride,2023-08-08 16:36 (-07),110,122,42%,78,16.95,4.24,135,121.00,,
2023-08-10 06:35 (-07),On Demand,Jermaine Johnson,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-07-26 03:24 (-07),,,,,,,115,,,
2023-08-13 13:02 (-07),On Demand,Andy Speer,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-09 23:00 (-07),,,,,,,29,,,
2023-08-14 21:03 (-07),On Demand,Callie Gullickson,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-08-07 23:00 (-07),,,,,,,14,,,
2023-08-15 05:54 (-07),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-08-14 03:30 (-07),,,,,,,115,,,
2023-08-16 19:12 (-07),On Demand,Denis Morton,10,Cycling,Warm Up,10 min Warm Up Ride,2023-08-15 08:00 (-07),57,95,34%,91,15.72,2.62,65,106.00,,
2023-08-16 19:23 (-07),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-08-08 15:55 (-07),218,121,46%,66,16.68,8.34,246,117.00,,
2023-08-16 19:56 (-07),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-11 01:00 (-07),,,,,,,14,,,
2023-08-17 06:31 (-07),On Demand,Jermaine Johnson,20,Strength,Upper Body,20 min Strength Roll Call: Upper Body,2023-08-17 04:30 (-07),,,,,,,115,,,
2023-08-18 06:27 (-07),On Demand,Kendall Toole,5,Cycling,Warm Up,5 min Warm Up Ride,2023-06-06 08:00 (-07),24,82,32%,91,14.70,1.22,25,95.00,,
2023-08-18 06:33 (-07),On Demand,Ben Alldis,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-07-31 10:25 (-07),249,138,46%,70,17.12,8.56,315,131.00,,
2023-08-19 09:48 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Glutes & Calves,2023-08-01 07:00 (-07),,,,,,,29,,,
2023-08-19 10:33 (-07),On Demand,Adrian Williams,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-08-14 23:00 (-07),,,,,,,14,,,
2023-08-19 10:39 (-07),On Demand,Logan Aldridge,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-08-08 23:00 (-07),,,,,,,29,,,
2023-08-20 11:25 (-07),On Demand,Ben Alldis,10,Strength,Upper Body,10 min Upper Body Strength,2023-08-16 03:50 (-07),,,,,,,57,,,
2023-08-21 06:35 (-07),On Demand,Callie Gullickson,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-07-18 07:00 (-07),,,,,,,57,,,
2023-08-22 18:57 (-07),On Demand,Selena Samuela,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-08-21 06:26 (-07),,,,,,,115,,,
2023-08-22 19:19 (-07),On Demand,Andy Speer,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-08-21 23:00 (-07),,,,,,,14,,,
2023-08-23 07:10 (-07),On Demand,Christine D'Ercole,5,Cycling,Warm Up,5 min Warm Up Ride,2023-08-08 08:00 (-07),22,72,30%,90,14.08,1.17,26,97.00,,
2023-08-23 07:16 (-07),On Demand,Hannah Frankson,20,Cycling,Music,20 min EDM Ride,2023-08-21 23:00 (-07),176,146,44%,80,18.39,6.13,197,128.00,,
2023-08-25 06:33 (-07),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Strength Roll Call: Upper Body,2023-08-24 04:30 (-07),,,,,,,115,,,
2023-08-26 05:35 (-07),On Demand,Sam Yo,5,Cycling,Warm Up,5 min Warm Up Ride,2023-08-22 01:00 (-07),34,114,37%,90,17.01,1.42,38,113.00,,
2023-08-26 05:43 (-07),On Demand,Hannah Corbin,15,Cycling,Theme,15 min Pick-Me-Up Ride,2023-08-10 09:35 (-07),109,121,43%,77,17.21,4.30,154,129.00,,
2023-08-27 20:29 (-07),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-24 23:00 (-07),,,,,,,29,,,
2023-08-28 05:50 (-07),On Demand,Rebecca Kennedy,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-06-30 14:53 (-07),,,,,,,57,,,
2023-08-29 06:05 (-07),,,5,Cycling,,5 min Lanebreak Ride,,21,68,33%,79,13.56,1.14,28,,,
2023-08-29 06:11 (-07),On Demand,Olivia Amato,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-08-17 02:56 (-07),228,127,44%,74,16.78,8.39,291,126.00,,
2023-08-30 20:36 (-07),On Demand,Matty Maggiacomo,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-16 23:00 (-07),,,,,,,29,,,
2023-08-31 05:47 (-07),On Demand,Jermaine Johnson,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-08-29 03:30 (-07),,,,,,,57,,,
2023-09-01 06:43 (-07),On Demand,Robin Arzon,10,Strength,Upper Body,10 min Upper Body Strength,2023-08-28 07:00 (-07),,,,,,,57,,,
2023-09-02 07:10 (-07),On Demand,Hannah Frankson,20,Cycling,Low Impact,20 min Recovery Ride,2023-08-30 11:00 (-07),111,92,38%,78,15.51,5.17,137,108.00,,
2023-09-02 07:31 (-07),On Demand,Charlotte Weidenbach,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-31 01:00 (-07),,,,,,,14,,,
2023-09-02 20:15 (-07),On Demand,Callie Gullickson,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-31 01:00 (-07),,,,,,,29,,,
2023-09-03 07:57 (-07),On Demand,Rad Lopez,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-08-30 07:00 (-07),,,,,,,115,,,
2023-09-03 08:19 (-07),On Demand,Matty Maggiacomo,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-05-23 23:00 (-07),,,,,,,14,,,
2023-09-03 13:50 (-07),On Demand,Rebecca Kennedy,10,Stretching,Foam Rolling,10 min Foam Rolling: Full Body,2023-08-01 07:00 (-07),,,,,,,29,,,
2023-09-04 10:04 (-07),On Demand,Jermaine Johnson,20,Strength,Upper Body,20 min Chest & Back Strength,2023-08-22 03:30 (-07),,,,,,,115,,,
2023-09-04 19:18 (-07),On Demand,Matty Maggiacomo,20,Stretching,Full Body Stretch,20 min Evening Stretch,2023-09-01 01:00 (-07),,,,,,,57,,,
2023-09-05 06:27 (-07),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Chest & Back Strength,2023-08-30 03:30 (-07),,,,,,,115,,,
2023-09-05 20:51 (-07),On Demand,Matt Wilpers,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2023-09-04 23:00 (-07),,,,,,,14,,,
2023-09-06 06:19 (-07),On Demand,Hannah Corbin,5,Cycling,Warm Up,5 min Warm Up Ride,2023-08-29 08:00 (-07),22,72,34%,79,14.07,1.17,28,98.00,,
2023-09-06 06:26 (-07),On Demand,Leanne Hainsby-Alldis,20,Cycling,Music,20 min House Ride,2023-08-30 23:00 (-07),154,128,42%,81,17.65,5.89,209,130.00,,
2023-09-07 06:15 (-07),On Demand,Logan Aldridge,20,Strength,Upper Body,20 min Chris Stapleton Arms & Shoulders,2023-09-06 22:50 (-07),,,,,,,115,,,
2023-09-08 08:07 (-07),On Demand,Logan Aldridge,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2023-08-30 01:00 (-07),,,,,,,14,,,
2023-09-10 06:51 (-07),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Skrillex Upper Body Strength,2023-09-08 11:25 (-07),,,,,,,115,,,
2023-09-10 12:51 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Full Body,2023-09-05 07:00 (-07),,,,,,,29,,,
2023-09-11 20:52 (-07),On Demand,Adrian Williams,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-08-22 23:00 (-07),,,,,,,29,,,
2023-09-12 06:32 (-07),On Demand,Ben Alldis,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-09-11 03:30 (-07),,,,,,,57,,,
2023-09-12 20:49 (-07),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-30 01:00 (-07),,,,,,,14,,,
2023-09-13 05:51 (-07),On Demand,Denis Morton,5,Cycling,Warm Up,5 min Warm Up Ride,2023-09-05 08:00 (-07),34,112,34%,98,16.70,1.39,36,110.00,,
2023-09-13 05:57 (-07),On Demand,Olivia Amato,15,Cycling,Music,15 min Ellie Goulding Ride,2023-09-06 22:25 (-07),107,119,40%,80,16.97,4.24,136,123.00,,
2023-09-14 06:12 (-07),On Demand,Rad Lopez,10,Strength,Upper Body,10 min Miguel Chest & Back Strength,2023-09-06 21:50 (-07),,,,,,,57,,,
2023-09-14 21:23 (-07),On Demand,Matty Maggiacomo,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2023-09-13 23:00 (-07),,,,,,,14,,,
2023-09-15 06:18 (-07),On Demand,Jermaine Johnson,20,Strength,Upper Body,20 min Strength Roll Call: Upper Body,2023-09-14 04:30 (-07),,,,,,,115,,,
2023-09-16 08:53 (-07),On Demand,Bradley Rose,10,Cycling,Warm Up,10 min Warm Up Ride,2023-09-12 01:00 (-07),51,86,33%,88,15.13,2.52,54,97.00,,
2023-09-16 09:04 (-07),On Demand,Alex Toussaint,20,Cycling,Music,20 min New Tracks Ride,2023-09-15 04:25 (-07),158,132,43%,79,17.85,5.95,182,122.00,,
2023-09-16 09:25 (-07),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-17 23:00 (-07),,,,,,,14,,,
2023-09-17 11:54 (-07),On Demand,Hannah Corbin,20,Cycling,Low Impact,20 min Recovery Ride,2023-06-20 08:00 (-07),96,80,35%,78,14.56,4.86,91,89.00,,
2023-09-17 12:17 (-07),On Demand,Assal Arian,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-09-15 01:00 (-07),,,,,,,29,,,
2023-09-17 20:58 (-07),On Demand,Andy Speer,20,Stretching,Full Body Stretch,20 min Full Body Stretch,2023-09-10 23:00 (-07),,,,,,,48,,,
2023-09-18 06:21 (-07),On Demand,Selena Samuela,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-09-15 14:54 (-07),,,,,,,115,,,
2023-09-18 21:13 (-07),On Demand,Logan Aldridge,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-09-12 23:00 (-07),,,,,,,14,,,
2023-09-19 07:41 (-07),On Demand,Leanne Hainsby-Alldis,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-09-10 23:00 (-07),196,109,44%,65,15.03,7.52,287,126.00,,
2023-09-19 08:13 (-07),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-09-14 23:00 (-07),,,,,,,14,,,
2023-09-19 20:51 (-07),On Demand,Logan Aldridge,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-08-02 23:00 (-07),,,,,,,29,,,
2023-09-20 06:57 (-07),On Demand,Leanne Hainsby-Alldis,20,Cycling,Low Impact,20 min Low Impact Ride,2023-09-17 23:30 (-07),115,96,35%,84,15.38,5.13,157,114.00,,
2023-09-21 08:00 (-07),On Demand,Jermaine Johnson,10,Strength,Upper Body,10 min Upper Body Strength,2023-09-19 03:30 (-07),,,,,,,57,,,
2023-09-23 09:38 (-07),On Demand,Ally Love,5,Cycling,Warm Up,5 min Warm Up Ride,2023-09-19 08:00 (-07),23,76,33%,85,14.35,1.19,24,92.00,,
2023-09-23 09:51 (-07),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Strength Roll Call: Upper Body,2023-09-21 04:30 (-07),,,,,,,115,,,
2023-09-23 14:42 (-07),On Demand,Hannah Corbin,20,Stretching,Full Body Stretch,20 min Full Body Stretch,2023-09-17 23:00 (-07),,,,,,,57,,,
2023-09-24 08:15 (-07),,,5,Cycling,,5 min Lanebreak Ride,,25,82,34%,85,14.57,1.23,33,,,
2023-09-24 08:22 (-07),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-09-05 15:54 (-07),175,97,43%,57,13.19,6.59,249,117.00,,
2023-09-24 08:53 (-07),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-09-21 23:00 (-07),,,,,,,14,,,
2023-09-25 06:22 (-07),On Demand,Rad Lopez,10,Strength,Upper Body,10 min Chest & Back Strength,2023-09-18 15:26 (-07),,,,,,,57,,,
2023-09-25 20:14 (-07),On Demand,Matty Maggiacomo,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-09-24 23:00 (-07),,,,,,,29,,,
2023-09-26 07:05 (-07),On Demand,Cody Rigsby,5,Cycling,Warm Up,5 min Warm Up Ride,2021-04-22 06:00 (-07),33,112,38%,86,16.83,1.40,45,,,
2023-09-26 07:13 (-07),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-09-25 20:00 (-07),186,103,40%,68,14.06,7.03,338,136.00,,
2023-09-26 21:17 (-07),On Demand,Adrian Williams,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-09-20 23:00 (-07),,,,,,,29,,,
2023-09-27 06:19 (-07),On Demand,Logan Aldridge,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-09-19 14:55 (-07),,,,,,,115,,,
2023-09-28 06:29 (-07),On Demand,Emma Lovewell,5,Cycling,Warm Up,5 min Warm Up Ride,2023-09-26 08:00 (-07),24,80,32%,88,14.43,1.20,25,93.00,,
2023-09-28 06:36 (-07),On Demand,Hannah Corbin,15,Cycling,Music,15 min Hip Hop Ride,2023-09-21 09:35 (-07),108,120,41%,82,17.24,4.31,129,119.00,,
2023-09-30 13:07 (-07),On Demand,Bradley Rose,15,Cycling,Low Impact,15 min Low Impact Ride,2023-09-29 10:55 (-07),40,45,29%,72,11.17,2.79,58,88.00,,
2023-09-30 13:23 (-07),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Body Appreciation Stretch,2023-09-27 07:00 (-07),,,,,,,14,,,
2023-10-05 06:22 (-07),On Demand,Camila Ramon,5,Cycling,Warm Up,5 min Warm Up Ride,2023-10-03 08:00 (-07),30,102,40%,80,15.99,1.33,28,99.00,,
2023-10-05 06:29 (-07),On Demand,Denis Morton,10,Cycling,Low Impact,Extra 10: Low Impact Ride,2023-10-02 07:00 (-07),50,83,35%,80,15.03,2.51,53,98.00,,
2023-10-06 06:10 (-07),On Demand,Robin Arzon,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-10-02 07:00 (-07),,,,,,,57,,,
2023-10-07 19:32 (-07),On Demand,Adrian Williams,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-10-01 23:00 (-07),,,,,,,29,,,
2023-10-08 06:56 (-07),On Demand,Christine D'Ercole,5,Cycling,Warm Up,5 min Warm Up Ride,2023-08-08 08:00 (-07),20,68,30%,90,13.72,1.14,22,91.00,,
2023-10-08 07:03 (-07),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-09-30 06:55 (-07),206,115,46%,59,14.64,7.32,274,121.00,,
2023-10-08 07:35 (-07),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-10-05 23:00 (-07),,,,,,,14,,,
2023-10-08 12:32 (-07),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Glutes,2023-10-03 07:00 (-07),,,,,,,29,,,
2023-10-08 20:49 (-07),On Demand,Callie Gullickson,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-10-04 23:00 (-07),,,,,,,29,,,
2023-10-09 06:25 (-07),On Demand,Callie Gullickson,10,Strength,Upper Body,10 min Chest & Back Strength,2023-10-06 07:00 (-07),,,,,,,57,,,
2023-10-09 19:26 (-07),On Demand,Matty Maggiacomo,10,Stretching,Upper Body Stretch,10 min Upper Body Stretch,2023-10-03 23:00 (-07),,,,,,,29,,,
2023-10-10 06:19 (-07),,,5,Cycling,,5 min Lanebreak Ride,,24,78,32%,84,14.21,1.19,32,,,
2023-10-10 06:27 (-07),On Demand,Robin Arzon,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-08-07 07:00 (-07),,,,,,,57,,,
2023-10-10 20:54 (-07),On Demand,Callie Gullickson,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-10-10 23:00 (-07),,,,,,,14,,,
2023-10-11 06:46 (-07),On Demand,Ben Alldis,10,Strength,Upper Body,10 min Upper Body Strength,2023-10-11 03:25 (-07),,,,,,,57,,,
2023-10-11 07:05 (-07),On Demand,Hannah Corbin,20,Cycling,Climb,20 min Climb Ride,2023-10-08 05:25 (-07),172,143,43%,78,17.84,5.95,214,132.00,,
2023-10-11 20:30 (-07),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-10-09 04:12 (-07),,,,,,,29,,,
2023-10-13 06:14 (-07),On Demand,Andy Speer,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2023-10-11 07:00 (-07),,,,,,,57,,,
2023-10-13 06:27 (-07),On Demand,Rad Lopez,30,Strength,Boxing Bootcamp,30 min Boxing Bootcamp: Upper Body,2023-10-10 09:25 (-07),,,,,,,7,,,
2023-10-14 07:27 (-07),On Demand,Matt Wilpers,10,Cycling,Warm Up,10 min Warm Up Ride,2023-10-10 08:00 (-07),57,96,34%,92,15.66,2.61,79,114.00,,
2023-10-14 07:39 (-07),On Demand,Emma Lovewell,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-09-29 06:55 (-07),195,108,41%,70,15.71,7.86,341,137.00,,
2023-10-14 08:11 (-07),On Demand,Alex Toussaint,5,Cycling,Cool Down,5 min Cool Down Ride,2023-10-13 08:00 (-07),24,79,38%,71,14.45,1.20,45,122.00,,
2023-10-16 06:31 (-07),On Demand,Denis Morton,10,Cycling,Warm Up,10 min Warm Up Ride,2023-08-15 08:00 (-07),61,102,35%,92,16.13,2.69,92,124.00,,
2023-10-16 06:43 (-07),On Demand,Robin Arzon,10,Strength,Upper Body,10 min Chest & Back Strength,2023-09-25 07:00 (-07),,,,,,,57,,,
2023-10-18 06:11 (-07),On Demand,Jermaine Johnson,10,Strength,Upper Body,10 min Upper Body Strength,2023-10-18 03:25 (-07),,,,,,,57,,,
2023-10-19 21:55 (-07),On Demand,Hannah Corbin,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-10-18 23:00 (-07),,,,,,,29,,,
2023-10-20 06:38 (-07),On Demand,Jermaine Johnson,10,Strength,Upper Body,10 min Upper Body Strength,2023-10-18 03:25 (-07),,,,,,,57,,,
2023-10-20 06:52 (-07),On Demand,Olivia Amato,15,Cycling,Low Impact,15 min Low Impact Ride,2023-10-19 03:36 (-07),105,117,41%,78,16.63,4.16,143,126.00,,
2023-10-22 10:53 (-07),On Demand,Rebecca Kennedy,10,Strength,Upper Body,10 min Chest & Back Strength,2023-10-20 09:57 (-07),,,,,,,57,,,
2023-10-22 12:05 (-07),On Demand,Olivia Amato,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-06-15 02:54 (-07),250,139,46%,74,17.82,8.90,343,137.00,,
2023-10-22 12:36 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 09:00 (-07),13,45,25%,87,11.34,0.94,40,116.00,,
2023-10-22 12:41 (-07),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-05-11 08:00 (-07),,,,,,,14,,,
2023-10-23 06:00 (-07),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-10-16 03:25 (-07),,,,,,,115,,,
2023-10-24 05:56 (-07),On Demand,Olivia Amato,5,Cycling,Warm Up,5 min Warm Up Ride,2023-10-17 08:00 (-07),28,94,37%,81,15.47,1.29,30,102.00,,
2023-10-24 06:03 (-07),On Demand,Ben Alldis,15,Cycling,Music,15 min Pop Ride,2023-10-23 11:19 (-07),115,127,41%,86,17.33,4.33,151,130.00,,
2023-10-24 20:31 (-07),On Demand,Jess King,5,Stretching,Upper Body Stretch,5 min Upper Body Stretch,2023-10-17 23:00 (-07),,,,,,,14,,,
2023-10-25 06:14 (-07),On Demand,Logan Aldridge,20,Strength,Upper Body,20 min Chest & Back Strength,2023-10-24 14:53 (-07),,,,,,,115,,,
2023-10-26 06:30 (-07),On Demand,Alex Toussaint,5,Cycling,Warm Up,5 min Warm Up Ride,2023-10-24 08:00 (-07),26,87,34%,88,14.89,1.24,32,106.00,,
2023-10-26 06:37 (-07),On Demand,Ally Love,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-10-22 10:51 (-07),193,107,42%,69,15.55,7.78,313,131.00,,
2023-10-27 06:59 (-07),On Demand,Jermaine Johnson,20,Strength,Upper Body,20 min Strength Roll Call: Upper Body,2023-10-26 04:25 (-07),,,,,,,115,,,
2023-10-28 08:42 (-07),On Demand,Denis Morton,10,Cycling,Warm Up,10 min Warm Up Ride,2023-08-15 08:00 (-07),64,107,34%,93,16.48,2.75,87,121.00,,
2023-10-28 08:55 (-07),On Demand,Emma Lovewell,45,Cycling,Intervals,45 min Intervals & Arms Ride,2023-10-27 06:54 (-07),324,120,43%,71,16.64,12.48,555,143.00,,
2023-10-28 09:41 (-07),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-10-24 23:00 (-07),,,,,,,14,,,
2023-10-29 09:05 (-07),On Demand,Rad Lopez,20,Strength,Upper Body,20 min Chest & Back Strength,2023-10-23 14:54 (-07),,,,,,,115,,,
2023-10-30 06:35 (-07),On Demand,Mayla Wedekind,5,Cycling,Warm Up,5 min Warm Up Ride,2023-10-18 22:15 (-07),29,98,35%,88,15.71,1.31,37,112.00,,
2023-10-30 06:41 (-07),On Demand,Ally Love,15,Cycling,Low Impact,15 min Low Impact Ride,2023-10-30 04:34 (-07),81,90,38%,77,15.36,3.84,128,118.00,,
2023-10-30 20:58 (-07),On Demand,Jess King,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-10-29 23:00 (-07),,,,,,,29,,,
2023-10-31 06:24 (-07),On Demand,Callie Gullickson,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-10-30 09:26 (-07),,,,,,,115,,,
2023-10-31 20:43 (-07),On Demand,Selena Samuela,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-10-25 23:00 (-07),,,,,,,29,,,
2023-11-01 06:19 (-07),On Demand,Cody Rigsby,5,Cycling,Warm Up,5 min Warm Up Ride,2023-10-31 08:00 (-07),23,76,34%,82,14.27,1.19,31,103.00,,
2023-11-01 06:25 (-07),On Demand,Tunde Oyeneyin,20,Cycling,Music,20 min 2010s Pop Ride,2023-11-01 03:24 (-07),136,113,42%,75,16.85,5.62,189,125.00,,
2023-11-01 06:46 (-07),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-11-01 00:00 (-07),,,,,,,14,,,
2023-11-01 21:11 (-07),On Demand,Andy Speer,10,Stretching,Upper Body Stretch,10 min Upper Body Stretch,2023-10-31 23:00 (-07),,,,,,,29,,,
2023-11-02 06:25 (-07),On Demand,Logan Aldridge,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-10-31 14:51 (-07),,,,,,,115,,,
2023-11-02 20:45 (-07),On Demand,Assal Arian,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-10-12 23:00 (-07),,,,,,,29,,,
2023-11-03 06:26 (-07),,,5,Cycling,,5 min Lanebreak Ride,,28,91,35%,87,15.25,1.28,37,,,
2023-11-03 06:33 (-07),On Demand,Olivia Amato,15,Cycling,Music,15 min Pop Ride,2023-11-02 03:35 (-07),128,143,45%,79,18.17,4.54,160,133.00,,
2023-11-04 06:30 (-07),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Strength Roll Call: Upper Body,2023-11-02 05:25 (-07),,,,,,,115,,,
2023-11-05 06:44 (-08),On Demand,Rebecca Kennedy,20,Stretching,Foam Rolling,20 min Foam Rolling: Full Body,2023-10-03 06:00 (-08),,,,,,,57,,,
2023-11-06 06:08 (-08),On Demand,Selena Samuela,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-11-03 13:54 (-08),,,,,,,115,,,
2023-11-07 05:59 (-08),On Demand,Sam Yo,10,Cycling,Warm Up,10 min Warm Up Ride,2023-05-22 22:00 (-08),76,127,38%,92,17.72,2.95,91,123.00,,
2023-11-07 06:10 (-08),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-11-04 09:56 (-08),198,110,39%,83,16.53,8.27,315,132.00,,
2023-11-08 06:12 (-08),On Demand,Rad Lopez,20,Strength,Upper Body,20 min Strength Roll Call: Upper Body,2023-11-08 04:22 (-08),,,,,,,114,,,
2023-11-09 06:12 (-08),On Demand,Camila Ramon,5,Cycling,Warm Up,5 min Warm Up Ride,2023-10-03 07:00 (-08),35,116,40%,84,16.91,1.41,32,104.00,,
2023-11-09 06:19 (-08),On Demand,Bradley Rose,30,Cycling,Intervals,30 min Intervals & Arms Ride,2023-11-09 03:54 (-08),187,104,41%,78,16.25,8.13,264,120.00,,
2023-11-10 06:42 (-08),On Demand,Callie Gullickson,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2023-11-09 07:00 (-08),,,,,,,114,,,
